class,wrapper_file,native_name,token_dec,method,access,is_static,system
cmpDrawDH,cmpDrawDH.cs,cmpdrawDH_Public_Static_dds3ProcessFunc_t_dds3ProcessID_t_0,100663700,cmpdrawDH,Public,True,camp
cmpDrawDH,cmpDrawDH.cs,cmpPreModelLoad_Private_Static_Void_0,100663701,cmpPreModelLoad,Private,True,camp
cmpDrawDH,cmpDrawDH.cs,cmpPreModelIni_Public_Static_Void_0,100663702,cmpPreModelIni,Public,True,camp
cmpDrawDH,cmpDrawDH.cs,cmpPreModelDel_Public_Static_Void_0,100663703,cmpPreModelDel,Public,True,camp
cmpDrawItem,cmpDrawItem.cs,cmpDrawItemSelectCursor_Public_Static_Void_Int32_cmpCursorInfo_t_0,100663705,cmpDrawItemSelectCursor,Public,True,camp
cmpDrawItem,cmpDrawItem.cs,cmpDrawNoItemGrad_Public_Static_Void_Int32_Int32_UInt32_Int32_UInt32_0,100663706,cmpDrawNoItemGrad,Public,True,camp
cmpDrawItem,cmpDrawItem.cs,cmpDrawItemList_Public_Static_Void_fclPanelPos_t_cmpCursorInfo_t_Object_SByte_Int32_UInt32_0,100663707,cmpDrawItemList,Public,True,camp
cmpDrawItem,cmpDrawItem.cs,cmpDrawItemRoot_Public_Static_Void_0,100663708,cmpDrawItemRoot,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpSetRegExTEST_Public_Static_Void_UInt64_UInt32_UInt32_0,100663710,cmpSetRegExTEST,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpSetRegTEST_Public_Static_Void_UInt64_UInt32_0,100663711,cmpSetRegTEST,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpSetRegExALPHA_Public_Static_Void_UInt64_UInt32_UInt32_0,100663712,cmpSetRegExALPHA,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpSetRegALPHA_Public_Static_Void_UInt64_UInt32_0,100663713,cmpSetRegALPHA,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpDrawTriangleG_Public_Static_Void_Il2CppStructArray_1_Int32_Il2CppStructArray_1_Int32_UInt32_Il2CppStructArray_1_UInt32_UInt32_0,100663714,cmpDrawTriangleG,Public,True,camp
cmpDrawMisc,cmpDrawMisc.cs,cmpDrawBoxExF_Public_Static_Void_Int32_Int32_UInt32_Int32_Int32_UInt32_UInt32_UInt32_0,100663715,cmpDrawBoxExF,Public,True,camp
