token_dec,token_hex,rid,rva,kind,accessor,name,decl,category
100670960,0x06001DF0,7664,0x000D7FAC,method,,DBlurFrameFunc,"public unsafe static void DBlurFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670961,0x06001DF1,7665,0x000D8014,method,,RBlurFrameFunc,"public unsafe static void RBlurFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670962,0x06001DF2,7666,0x000D807C,method,,MFilterFrameFunc,"public unsafe static void MFilterFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670963,0x06001DF3,7667,0x000D80E4,method,,FilterFrameFunc,"public unsafe static void FilterFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670964,0x06001DF4,7668,0x000D814C,method,,FrameRun,public unsafe static void FrameRun(pmdProcessWork_t wdata),Loop
100670965,0x06001DF5,7669,0x000D8184,method,,FrameTableOverWrite,public unsafe static void FrameTableOverWrite(pmdProcessWork_t wdata),misc
100670966,0x06001DF6,7670,0x000D81BC,method,,evtPolygonMovieProcess2,public unsafe static dds3ProcessFunc_t evtPolygonMovieProcess2(dds3ProcessID_t id),API
100670967,0x06001DF7,7671,0x000D8200,method,,evtPolygonMovieProcess3,public unsafe static Il2CppSystem.Object evtPolygonMovieProcess3(dds3ProcessID_t id),API
100670968,0x06001DF8,7672,0x000D8244,method,,CheckLoad,public unsafe static bool CheckLoad(pmdProcessWork_t wdata),misc
100670969,0x06001DF9,7673,0x000D8288,method,,evtCheckPolygonMovieRun,public unsafe static int evtCheckPolygonMovieRun(dds3ProcessID_t id),API
100670970,0x06001DFA,7674,0x000D82CC,method,,evtPolygonMovieProcess1,public unsafe static Il2CppSystem.Object evtPolygonMovieProcess1(dds3ProcessID_t id),API
100670971,0x06001DFB,7675,0x000D8310,method,,dds3SearchSceneBasic_,"public unsafe static dds3Basic_t dds3SearchSceneBasic_(dds3SceneBasic_t scene, uint serialID, uint type)",misc
100670972,0x06001DFC,7676,0x000D8370,method,,dds3SceneBasicSearchNameAndType_,"public unsafe static dds3Basic_t dds3SceneBasicSearchNameAndType_(dds3SceneBasic_t scene, uint type, string name)",misc
100670973,0x06001DFD,7677,0x000D83D4,method,,evtPolygonMovieShutdown,public unsafe static Il2CppSystem.Object evtPolygonMovieShutdown(dds3ProcessID_t id),API
100670974,0x06001DFE,7678,0x000D8418,method,,evtHokanFloat,"public unsafe static float evtHokanFloat(int hokan, float ratio, float f1, float f2)",Interp_Hokan
100670975,0x06001DFF,7679,0x000D8480,method,,evtHokanInt,"public unsafe static int evtHokanInt(int hokan, float ratio, int i1, int i2)",Interp_Hokan
100670976,0x06001E00,7680,0x000D84E8,method,,evtHokanUInt,"public unsafe static uint evtHokanUInt(int hokan, float ratio, uint i1, uint i2)",Interp_Hokan
