namespace,type,field,field_type,path
Il2Cpplibsdf_H,sdfFileCmdHandle_t,buffer,Il2CppSystem.Object,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,cmdParm,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,fd,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,errorCode,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,currentOffset,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,remainder,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,callback,sdfFileCmdCallback_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,userData,Il2CppSystem.Object,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,memHandle,sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,count,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,capacity,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,elemSize,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,growStep,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfModelTexList_t,items,sdfTexHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelTexList_t.cs
Il2Cpplibsdf_H,sdfMotionCutChunk_t,size,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutChunk_t.cs
Il2Cpplibsdf_H,sdfMotionCutChunk_t,numOfKey,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutChunk_t.cs
Il2Cpplibsdf_H,sdfMotionCutChunk_t,keyElemSize,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutChunk_t.cs
Il2Cpplibsdf_H,sdfMotionCutChunk_t,pad,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutChunk_t.cs
Il2Cpplibsdf_H,sdfMotionCutChunk_t,keyFrameList,Il2CppStructArray<ushort>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutChunk_t.cs
Il2Cpplibsdf_H,sdfMotionPlayBook_t,numOfCut,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionPlayBook_t.cs
Il2Cpplibsdf_H,sdfMotionPlayBook_t,numOfNode,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionPlayBook_t.cs
Il2Cpplibsdf_H,sdfMotionPlayBook_t,cutList,Il2CppReferenceArray<sdfMotionCutDef_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionPlayBook_t.cs
Il2Cpplibsdf_H,sdfMotionPlayBook_t,nodeDefList,Il2CppReferenceArray<sdfMotionNodeDef_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionPlayBook_t.cs
